OFA,164,66
PFA,66,162
QFA,162,87
RFA,87,123
SFA,123,138
TFA,138,52
UFA,52,117
VFA,117,199
WFA,199,130
XFA,130,169
YFA,169,184
ZFA,184,197
AGA,197,179
BGA,179,177
CGA,177,138
DGA,138,71
EGA,71,97
FGA,97,103
GGA,103,80
HGA,80,173
IGA,173,127
JGA,127,88
KGA,88,160
LGA,160,166
MGA,166,172
NGA,172,198
OGA,198,145
PGA,145,51
QGA,51,189
RGA,189,141
SGA,141,149
TGA,149,155
UGA,155,94
VGA,94,145
WGA,145,118
XGA,118,55
YGA,55,92
ZGA,92,150
AHA,150,163
BHA,163,58
CHA,58,109
DHA,109,191
EHA,191,137
FHA,137,141
GHA,141,87
HHA,87,186
IHA,186,133
JHA,133,73
KHA,73,128
LHA,128,128
MHA,128,170
NHA,170,190
OHA,190,173
PHA,173,158
QHA,158,159
RHA,159,80
SHA,80,63
THA,63,178
UHA,178,185
VHA,185,193
WHA,193,127
XHA,127,185
YHA,185,53
ZHA,53,92
AIA,92,154
BIA,154,73
CIA,73,50
DIA,50,155
EIA,155,79
FIA,79,112
GIA,112,93
HIA,93,134
IIA,134,165
JIA,165,93
KIA,93,132
LIA,132,163
MIA,163,168
NIA,168,168
OIA,168,92
PIA,92,150
QIA,150,170
RIA,170,123
SIA,123,58
TIA,58,83
UIA,83,186
VIA,186,116
WIA,116,120
XIA,120,95
YIA,95,189
ZIA,189,76
AJA,76,129
BJA,129,199
CJA,199,199
DJA,199,151
EJA,151,165
FJA,165,70
GJA,70,123
HJA,123,69
IJA,69,93
JJA,93,131
KJA,131,61
LJA,61,95
MJA,95,119
NJA,119,194
OJA,194,156
PJA,156,183
QJA,183,197
RJA,197,190
SJA,190,194
TJA,194,193
UJA,193,125
VJA,125,78
WJA,78,165
XJA,165,84
YJA,84,195
ZJA,195,96
AKA,96,59
BKA,59,59
CKA,59,59
DKA,59,50
EKA,50,150
FKA,150,89
GKA,89,85
HKA,85,191
IKA,191,193
JKA,193,107
KKA,107,123
LKA,123,136
MKA,136,155
NKA,155,77
OKA,77,121
PKA,121,174
QKA,174,185
RKA,185,151
SKA,151,50
TKA,50,156
UKA,156,112
VKA,112,76
WKA,76,112
XKA,112,80
YKA,80,188
ZKA,188,62
ALA,62,146
BLA,146,91
CLA,91,54
DLA,54,105
ELA,105,188
FLA,188,70
GLA,70,69
HLA,69,167
ILA,167,72
JLA,72,65
KLA,65,187
LLA,187,114
MLA,114,117
NLA,117,81
OLA,81,184
PLA,184,88
QLA,88,152
RLA,152,164
SLA,164,170
TLA,170,178
ULA,178,82
VLA,82,80
WLA,80,61
XLA,61,127
YLA,127,108
ZLA,108,183
AMA,183,181
BMA,181,190
CMA,190,170
DMA,170,125
EMA,125,73
FMA,73,72
GMA,72,107
HMA,107,87
IMA,87,129
JMA,129,149
KMA,149,190
LMA,190,98
MMA,98,134
NMA,134,150
OMA,150,113
PMA,113,94
QMA,94,55
RMA,55,182
SMA,182,168
TMA,168,136
UMA,136,128
VMA,128,189
WMA,189,69
XMA,69,194
YMA,194,92
ZMA,92,164
ANA,164,78
BNA,78,103
CNA,103,115
DNA,115,136
ENA,136,114
FNA,114,121
GNA,121,151
HNA,151,141
INA,141,171
JNA,171,96
KNA,96,117
LNA,117,141
MNA,141,125
NNA,125,54
ONA,54,70
PNA,70,58
QNA,58,71
RNA,71,144
SNA,144,72
TNA,72,184
UNA,184,128
VNA,128,194
WNA,194,185
XNA,185,192
YNA,192,91
ZNA,91,189
AOA,189,108
BOA,108,192
COA,192,177
DOA,177,186
EOA,186,129
FOA,129,180
GOA,180,167
HOA,167,62
IOA,62,167
JOA,167,181
KOA,181,87
LOA,87,136
MOA,136,99
NOA,99,152
OOA,152,91
POA,91,179
QOA,179,152
ROA,152,113
SOA,113,183
TOA,183,187
UOA,187,72
VOA,72,54
WOA,54,54
XOA,54,54
YOA,54,111
ZOA,111,141
APA,141,153
BPA,153,183
CPA,183,62
DPA,62,131
EPA,131,99
FPA,99,185
GPA,185,108
HPA,108,163
IPA,163,89
JPA,89,111
KPA,111,183
LPA,183,51
MPA,51,163
NPA,163,163
OPA,163,104
PPA,104,166
QPA,166,120
RPA,120,146
SPA,146,139
TPA,139,168
UPA,168,130
VPA,130,85
WPA,85,69
XPA,69,122
YPA,122,129
ZPA,129,113
AQA,113,95
BQA,95,111
CQA,111,95
DQA,95,57
EQA,57,68
FQA,68,161
GQA,161,168
HQA,168,138
IQA,138,97
JQA,97,173
KQA,173,161
LQA,161,148
MQA,148,174
NQA,174,95
OQA,95,119
PQA,119,178
QQA,178,152
RQA,152,154
SQA,154,80
TQA,80,68
UQA,68,121
VQA,121,56
WQA,56,91
XQA,91,140
YQA,140,140
ZQA,140,52
ARA,52,79
BRA,79,143
CRA,143,142
DRA,142,67
ERA,67,96
FRA,96,182
GRA,182,193
HRA,193,119
IRA,119,58
JRA,58,55
KRA,55,144
LRA,144,177
MRA,177,69
NRA,69,176
ORA,176,98
PRA,98,188
QRA,188,129
RRA,129,154
SRA,154,149
TRA,149,91
URA,91,81
VRA,81,119
WRA,119,75
XRA,75,104
YRA,104,127
ZRA,127,54
ASA,54,66
BSA,66,130
CSA,130,133
DSA,133,95
ESA,95,131
FSA,131,155
GSA,155,113
HSA,113,53
ISA,53,135
JSA,135,163
KSA,163,165
LSA,165,117
MSA,117,94
NSA,94,101
OSA,101,136
PSA,136,134
QSA,134,94
RSA,94,173
SSA,173,175
TSA,175,149
USA,149,148
VSA,148,70
WSA,70,199
XSA,199,62
YSA,62,160
ZSA,160,152
ATA,152,127
BTA,127,91
CTA,91,96
DTA,96,105
ETA,105,52
